conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username,clean_text,normalized_text,normalized_text_tokens,normalized_text_tokens_no_stopwords,indobert_encoded,sentiment,sentiment_score
1972304584636043688,Sun Sep 28 14:40:07 +0000 2025,0,@uberrmensch hai aku sore istri kamu dari masa depan,1972310358196195343,,uberrmensch,in,,0,2,0,https://x.com/undefined/status/1972310358196195343,1459773378101796867,,hai aku sore istri kamu dari masa depan,hai aku sore istri kamu dari masa depan,"['hai', 'aku', 'sore', 'istri', 'kamu', 'dari', 'masa', 'depan']","['hai', 'aku', 'sore', 'istri', 'kamu', 'dari', 'masa', 'depan']","[2, 5763, 304, 4551, 2387, 508, 98, 890, 1219, 3]",neutral,0.9845032691955566
1972296736552214924,Sun Sep 28 13:50:14 +0000 2025,40,Shot yang cantik! Cinematic ngam tapi sangat intim ya mereka ni Chemistry memang mantap dua pelakon Dion &amp; Sheila. Korang kena tengok filem Sore Istri Dari Masa Depan ni. Recommended https://t.co/zzQHA32bjf,1972297803033718956,https://pbs.twimg.com/media/G18CZEGaUAAxmGC.jpg,FyyDaud,in,,1,0,5,https://x.com/undefined/status/1972297803033718956,389424145,,shot yang cantik cinematic ngam tapi sangat intim ya mereka ni chemistry memang mantap dua pelakon dion amp sheila korang kena tengok filem sore istri dari masa depan ni recommended,shot yang cantik cinematic ngam tapi sangat intim ya mereka ni chemistry memang mantap dua pelakon dion amp sheila korang kena tengok filem sore istri dari masa depan ni recommended,"['shot', 'yang', 'cantik', 'cinematic', 'ngam', 'tapi', 'sangat', 'intim', 'ya', 'mereka', 'ni', 'chemistry', 'memang', 'mantap', 'dua', 'pelakon', 'dion', 'amp', 'sheila', 'korang', 'kena', 'tengok', 'filem', 'sore', 'istri', 'dari', 'masa', 'depan', 'ni', 'recommended']","['shot', 'yang', 'cantik', 'cinematic', 'ngam', 'tapi', 'sangat', 'intim', 'ya', 'mereka', 'ni', 'chemistry', 'memang', 'mantap', 'dua', 'pelakon', 'dion', 'amp', 'sheila', 'korang', 'kena', 'tengok', 'filem', 'sore', 'istri', 'dari', 'masa', 'depan', 'ni', 'recommended']","[2, 25053, 34, 2176, 13397, 1999, 341, 6052, 30363, 469, 310, 7911, 286, 267, 1932, 16533, 18110, 731, 7424, 662, 27050, 46, 26, 46, 2688, 12459, 563, 30286, 5381, 16078, 2482, 30363, 4551, 2387, 98, 890, 1219, 1932, 27515, 3]",positive,0.998356282711029
1972296736552214924,Sun Sep 28 13:46:00 +0000 2025,40,Nice shot ye filem Sore Istri Dari Masa Depan ni. Cinematic shot dia lawa memang tarikan untuk tengok filem ni. View2 dalam scene ni semua lawa https://t.co/vjasrIfBzi,1972296736552214924,https://pbs.twimg.com/media/G18BbNMa0AAMPa1.jpg,,in,,0,1,8,https://x.com/undefined/status/1972296736552214924,389424145,,nice shot ye filem sore istri dari masa depan ni cinematic shot dia lawa memang tarikan untuk tengok filem ni view dalam scene ni semua lawa,nice shot ye filem sore istri dari masa depan ni cinematic shot dia lawa memang tarikan untuk tengok filem ni view dalam scene ni semua lawa,"['nice', 'shot', 'ye', 'filem', 'sore', 'istri', 'dari', 'masa', 'depan', 'ni', 'cinematic', 'shot', 'dia', 'lawa', 'memang', 'tarikan', 'untuk', 'tengok', 'filem', 'ni', 'view', 'dalam', 'scene', 'ni', 'semua', 'lawa']","['nice', 'shot', 'ye', 'filem', 'sore', 'istri', 'dari', 'masa', 'depan', 'ni', 'cinematic', 'shot', 'dia', 'lawa', 'memang', 'tarikan', 'untuk', 'tengok', 'filem', 'ni', 'view', 'dalam', 'scene', 'ni', 'semua', 'lawa']","[2, 17514, 25053, 5397, 2482, 30363, 4551, 2387, 98, 890, 1219, 1932, 13397, 1999, 341, 25053, 364, 6127, 30354, 731, 18918, 90, 16078, 2482, 30363, 1932, 6975, 112, 25578, 1932, 366, 6127, 30354, 3]",positive,0.9887606501579285
1972281476113973750,Sun Sep 28 13:29:09 +0000 2025,0,@ginolaxell hi aku sore istri kamu dari masa depan,1972292497461354951,,ginolaxell,in,,1,1,0,https://x.com/undefined/status/1972292497461354951,3194637215,,hi aku sore istri kamu dari masa depan,hi aku sore istri kamu dari masa depan,"['hi', 'aku', 'sore', 'istri', 'kamu', 'dari', 'masa', 'depan']","['hi', 'aku', 'sore', 'istri', 'kamu', 'dari', 'masa', 'depan']","[2, 2520, 304, 4551, 2387, 508, 98, 890, 1219, 3]",neutral,0.9874070286750793
1972280559184580660,Sun Sep 28 12:41:43 +0000 2025,3,tahun ini beneran banyak film ajaib dan SORE: Istri Dari Masa Depan jadi salah satunya. ini kayak surat cinta yang ditulis Yandy Laurens untuk kita yang mencintai cinema: sungguh magical dari segala lini efek setelahnya menimbulkan banyak interpretasi serta renungan di kepala. https://t.co/KMEvWcbydS,1972280559184580660,https://pbs.twimg.com/media/G17ytl3bUAAlwzv.jpg,,in,,0,0,1,https://x.com/undefined/status/1972280559184580660,374447664,,tahun ini beneran banyak film ajaib dan sore istri dari masa depan jadi salah satunya ini kayak surat cinta yang ditulis yandy laurens untuk kita yang mencintai cinema sungguh magical dari segala lini efek setelahnya menimbulkan banyak interpretasi serta renungan di kepala,tahun ini beneran banyak film ajaib dan sore istri dari masa depan jadi salah satunya ini kayak surat cinta yang ditulis yandy laurens untuk kita yang mencintai cinema sungguh magical dari segala lini efek setelahnya menimbulkan banyak interpretasi serta renungan di kepala,"['tahun', 'ini', 'beneran', 'banyak', 'film', 'ajaib', 'dan', 'sore', 'istri', 'dari', 'masa', 'depan', 'jadi', 'salah', 'satunya', 'ini', 'kayak', 'surat', 'cinta', 'yang', 'ditulis', 'yandy', 'laurens', 'untuk', 'kita', 'yang', 'mencintai', 'cinema', 'sungguh', 'magical', 'dari', 'segala', 'lini', 'efek', 'setelahnya', 'menimbulkan', 'banyak', 'interpretasi', 'serta', 'renungan', 'di', 'kepala']","['tahun', 'ini', 'beneran', 'banyak', 'film', 'ajaib', 'dan', 'sore', 'istri', 'dari', 'masa', 'depan', 'jadi', 'salah', 'satunya', 'ini', 'kayak', 'surat', 'cinta', 'yang', 'ditulis', 'yandy', 'laurens', 'untuk', 'kita', 'yang', 'mencintai', 'cinema', 'sungguh', 'magical', 'dari', 'segala', 'lini', 'efek', 'setelahnya', 'menimbulkan', 'banyak', 'interpretasi', 'serta', 'renungan', 'di', 'kepala']","[2, 262, 92, 14544, 271, 1460, 11939, 41, 4551, 2387, 98, 890, 1219, 472, 427, 3040, 92, 5788, 1387, 1670, 34, 3499, 7969, 5258, 20914, 1599, 90, 219, 34, 5346, 13397, 3404, 3566, 14574, 20, 98, 1517, 9235, 1280, 14382, 2798, 271, 15098, 501, 16246, 26, 1179, 3]",positive,0.9950833320617676
1972277536530026749,Sun Sep 28 12:29:42 +0000 2025,4,Berbaloi betul bila dapat tengok filem Sore: Istri Dari Masa Depan ni.. Sumpah dia orang shoot semua cantik cantik.. Paling best view yang ada dalamm scene filem ni semua lawa-lawa.. https://t.co/MDmwTleUP4,1972277536530026749,https://pbs.twimg.com/media/G17v9n4bwAALkjf.jpg,,in,,0,0,0,https://x.com/undefined/status/1972277536530026749,1205228472,,berbaloi betul bila dapat tengok filem sore istri dari masa depan ni sumpah dia orang shoot semua cantik cantik paling best view yang ada dalamm scene filem ni semua lawalawa,berbaloi betul bila dapat tengok filem sore istri dari masa depan ni sumpah dia orang shoot semua cantik cantik paling best view yang ada dalamm scene filem ni semua lawalawa,"['berbaloi', 'betul', 'bila', 'dapat', 'tengok', 'filem', 'sore', 'istri', 'dari', 'masa', 'depan', 'ni', 'sumpah', 'dia', 'orang', 'shoot', 'semua', 'cantik', 'cantik', 'paling', 'best', 'view', 'yang', 'ada', 'dalamm', 'scene', 'filem', 'ni', 'semua', 'lawalawa']","['berbaloi', 'betul', 'bila', 'dapat', 'tengok', 'filem', 'sore', 'istri', 'dari', 'masa', 'depan', 'ni', 'sumpah', 'dia', 'orang', 'shoot', 'semua', 'cantik', 'cantik', 'paling', 'best', 'view', 'yang', 'ada', 'dalamm', 'scene', 'filem', 'ni', 'semua', 'lawalawa']","[2, 23362, 956, 30356, 4945, 1063, 173, 16078, 2482, 30363, 4551, 2387, 98, 890, 1219, 1932, 9109, 364, 232, 9596, 105, 366, 2176, 2176, 711, 5900, 6975, 34, 176, 112, 30363, 25578, 2482, 30363, 1932, 366, 6127, 361, 174, 3]",positive,0.997664213180542
1972272221789053139,Sun Sep 28 12:08:35 +0000 2025,0,hai aku sore istri kamu dari masa depan https://t.co/ZtpK0SPWsm,1972272221789053139,https://pbs.twimg.com/media/G17rIksbMAA0bvN.jpg,,in,,0,0,0,https://x.com/undefined/status/1972272221789053139,891567225949126656,,hai aku sore istri kamu dari masa depan,hai aku sore istri kamu dari masa depan,"['hai', 'aku', 'sore', 'istri', 'kamu', 'dari', 'masa', 'depan']","['hai', 'aku', 'sore', 'istri', 'kamu', 'dari', 'masa', 'depan']","[2, 5763, 304, 4551, 2387, 508, 98, 890, 1219, 3]",neutral,0.9845032691955566
1972272014141583800,Sun Sep 28 12:07:45 +0000 2025,3,Tanpa sedar air mata mengalir tonton filem Sore Istri Dari Masa Depan ni memang best! Jom tonton sekarang di pawagam! ARTIKEL: https://t.co/qWqCcqCIJy #xtramy #xtratonton,1972272014141583800,,,in,,0,0,0,https://x.com/undefined/status/1972272014141583800,171858132,,tanpa sedar air mata mengalir tonton filem sore istri dari masa depan ni memang best jom tonton sekarang di pawagam artikel,tanpa sedar air mata mengalir tonton filem sore istri dari masa depan ni memang best jom tonton sekarang di pawagam artikel,"['tanpa', 'sedar', 'air', 'mata', 'mengalir', 'tonton', 'filem', 'sore', 'istri', 'dari', 'masa', 'depan', 'ni', 'memang', 'best', 'jom', 'tonton', 'sekarang', 'di', 'pawagam', 'artikel']","['tanpa', 'sedar', 'air', 'mata', 'mengalir', 'tonton', 'filem', 'sore', 'istri', 'dari', 'masa', 'depan', 'ni', 'memang', 'best', 'jom', 'tonton', 'sekarang', 'di', 'pawagam', 'artikel']","[2, 705, 320, 12, 514, 1163, 5783, 12443, 2482, 30363, 4551, 2387, 98, 890, 1219, 1932, 731, 5900, 3443, 30363, 12443, 747, 26, 23513, 2015, 1431, 3]",positive,0.9917992353439331
1972212216540614777,Sun Sep 28 11:47:21 +0000 2025,0,@tanyarlfes Hai aku Sore. Istri kamu dari masa depan.,1972266879495631059,,tanyarlfes,in,,0,0,0,https://x.com/undefined/status/1972266879495631059,1210944601780916225,,hai aku sore istri kamu dari masa depan,hai aku sore istri kamu dari masa depan,"['hai', 'aku', 'sore', 'istri', 'kamu', 'dari', 'masa', 'depan']","['hai', 'aku', 'sore', 'istri', 'kamu', 'dari', 'masa', 'depan']","[2, 5763, 304, 4551, 2387, 508, 98, 890, 1219, 3]",neutral,0.9845032691955566
1972260390416633969,Sun Sep 28 11:21:34 +0000 2025,4,Wow ada yang tonton di pawagam hampir 30 kali tu! Baru je tonton filem 'Sore Istri Dari Masa Depan' ni memang best! ARTIKEL: https://t.co/drvbLU7mga #xtramy #xtratonton,1972260390416633969,,,in,,1,0,0,https://x.com/undefined/status/1972260390416633969,171858132,,wow ada yang tonton di pawagam hampir kali tu baru je tonton filem sore istri dari masa depan ni memang best artikel,wow ada yang tonton di pawagam hampir kali tu baru je tonton filem sore istri dari masa depan ni memang best artikel,"['wow', 'ada', 'yang', 'tonton', 'di', 'pawagam', 'hampir', 'kali', 'tu', 'baru', 'je', 'tonton', 'filem', 'sore', 'istri', 'dari', 'masa', 'depan', 'ni', 'memang', 'best', 'artikel']","['wow', 'ada', 'yang', 'tonton', 'di', 'pawagam', 'hampir', 'kali', 'tu', 'baru', 'je', 'tonton', 'filem', 'sore', 'istri', 'dari', 'masa', 'depan', 'ni', 'memang', 'best', 'artikel']","[2, 9283, 176, 34, 12443, 26, 23513, 2015, 1856, 633, 428, 440, 5974, 12443, 2482, 30363, 4551, 2387, 98, 890, 1219, 1932, 731, 5900, 1431, 3]",positive,0.9944063425064087
